mod8,2selmer_rank,count,total,percentage
1,2,31978,101314,0.3156325877963559
1,4,65542,101314,0.6469194780583137
1,6,3788,101314,0.037388712320113704
1,8,6,101314,5.922182521665318e-05
2,2,54869,101312,0.5415844125078964
2,4,44551,101312,0.4397406032849021
2,6,1891,101312,0.018665113708149085
2,8,1,101312,9.87049905243209e-06
3,2,61119,101321,0.6032214447153107
3,4,39382,101321,0.38868546500725415
3,6,820,101321,0.008093090277435083
5,3,87212,101322,0.860741003928071
5,5,13965,101322,0.13782791496417363
5,7,145,101322,0.0014310811077554726
6,3,87942,101328,0.8678943628612033
6,5,13273,101328,0.1309904468656245
6,7,113,101328,0.0011151902731722722
7,3,88016,101329,0.8686160921355189
7,5,13239,101329,0.1306536134768921
7,7,74,101329,0.000730294387588943
